"Bureau of Justice Statistics",,,,,,,,,,,,,,
"Municipalities","-",$10850039.00,$712579.00,6.6,,$605750.00,85.0,,$60359.00,8.5,,$46470.00,6.5,
,,,,,,,,,,,,,,
"Texas",20852,$109634090.00,$8314329.00,7.6,,$3204048.00,38.5,,$1354638.00,16.3,,$3755643.00,45.2,
"State","-",$44193991.00,$3425892.00,7.8,,$337990.00,9.9,,$410654.00,12.0,,$2677248.00,78.1,
"Local, total","-",$65440099.00,$4888437.00,7.5,,$2866058.00,58.6,,$943984.00,19.3,,$1078395.00,22.1,
"Counties","-",$8919975.00,$2421782.00,27.2,,$640495.00,26.4,,$764808.00,31.6,,$1016479.00,42.0,
"Municipalities","-",$18281668.00,$2466655.00,13.5,,$2225563.00,90.2,,$179176.00,7.3,,$61916.00,2.5,
,,,,,,,,,,,,,,
"Utah",2233,$13043870.00,$934625.00,7.2,,$380972.00,40.8,,$202238.00,21.6,,$351415.00,37.6,
"State","-",$6614065.00,$450937.00,6.8,,$74401.00,16.5,,$131164.00,29.1,,$245372.00,54.4,
"Local, total","-",$6429805.00,$483688.00,7.5,,$306571.00,63.4,,$71074.00,14.7,,$106043.00,21.9,
"Counties","-",$914979.00,$270765.00,29.6,,$111328.00,41.1,,$53394.00,19.7,,$106043.00,39.2,
"Municipalities","-",$1736101.00,$212923.00,12.3,,$195243.00,91.7,,$17680.00,8.3,,$0.00,0.0,
,,,,,,,,,,,,,,
"Vermont",609,$3756032.00,$183612.00,4.9,,$77900.00,42.4,,$39408.00,21.5,,$66304.00,36.1,
"State","-",$2287784.00,$140298.00,6.1,,$37127.00,26.5,,$37044.00,26.4,,$66127.00,47.1,
"Local, total","-",$1468248.00,$43314.00,3.0,,$40773.00,94.1,,$2364.00,5.5,,$177.00,0.4,
"Counties","-",$4607.00,$1968.00,42.7,,$844.00,42.9,,$948.00,48.2,,$176.00,8.9,
"Municipalities","-",$492037.00,$41346.00,8.4,,$39929.00,96.6,,$1416.00,3.4,,$1.00,0.0,
,,,,,,,,,,,,,,
"Virginia",7079,$38092058.00,$2934733.00,7.7,,$1175518.00,40.1,,$513080.00,17.5,,$1246135.00,42.5,
"State","-",$17181613.00,$1308431.00,7.6,,$210428.00,16.1,,$238570.00,18.2,,$859433.00,65.7,
"Local, total","-",$20910445.00,$1626302.00,7.8,,$965090.00,59.3,,$274510.00,16.9,,$386702.00,23.8,
"Counties","-",$11073750.00,$842086.00,7.6,,$478470.00,56.8,,$158233.00,18.8,,$205383.00,24.4,
"Municipalities","-",$8270516.00,$784216.00,9.5,,$486620.00,62.1,,$116277.00,14.8,,$181319.00,23.1,
,,,,,,,,,,,,,,
"Washington",5894,$41785842.00,$2530340.00,6.1,,$1007208.00,39.8,,$469759.00,18.6,,$1053373.00,41.6,
"State","-",$19531080.00,$955645.00,4.9,,$153174.00,16.0,,$71194.00,7.4,,$731277.00,76.5,
"Local, total","-",$22254762.00,$1574695.00,7.1,,$854034.00,54.2,,$398565.00,25.3,,$322096.00,20.5,
"Counties","-",$3950472.00,$879448.00,22.3,,$273025.00,31.0,,$302954.00,34.4,,$303469.00,34.5,
"Municipalities","-",$5430308.00,$695247.00,12.8,,$581009.00,83.6,,$95611.00,13.8,,$18627.00,2.7,
,,,,,,,,,,,,,,
"West Virginia",1808,$9990456.00,$462998.00,4.6,,$171146.00,37.0,,$107720.00,23.3,,$184132.00,39.8,
"State","-",$6192166.00,$281767.00,4.6,,$52445.00,18.6,,$73132.00,26.0,,$156190.00,55.4,
"Local, total","-",$3798290.00,$181231.00,4.8,,$118701.00,65.5,,$34588.00,19.1,,$27942.00,15.4,
"Counties","-",$582614.00,$94237.00,16.2,,$36563.00,38.8,,$29761.00,31.6,,$27913.00,29.6,
"Municipalities","-",$762133.00,$86994.00,11.4,,$82138.00,94.4,,$4827.00,5.5,,$29.00,0.0,
,,,,,,,,,,,,,,
"Wisconsin",5364,$34457512.00,$2594282.00,7.5,,$1124272.00,43.3,,$440190.00,17.0,,$1029820.00,39.7,
"State","-",$14662959.00,$1065901.00,7.3,,$99418.00,9.3,,$220426.00,20.7,,$746057.00,70.0,
"Local, total","-",$19794553.00,$1528381.00,7.7,,$1024854.00,67.1,,$219764.00,14.4,,$283763.00,18.6,
"Counties","-",$4747142.00,$797587.00,16.8,,$340379.00,42.7,,$173680.00,21.8,,$283528.00,35.5,
"Municipalities","-",$5673509.00,$730794.00,12.9,,$684475.00,93.7,,$46084.00,6.3,,$235.00,0.0,
,,,,,,,,,,,,,,
"Wyoming",494,$3741777.00,$247344.00,6.6,,$98946.00,40.0,,$50047.00,20.2,,$98351.00,39.8,
"State","-",$1714282.00,$123133.00,7.2,,$19320.00,15.7,,$30782.00,25.0,,$73031.00,59.3,
"Local, total","-",$2027495.00,$124211.00,6.1,,$79626.00,64.1,,$19265.00,15.5,,$25320.00,20.4,
"Counties","-",$426989.00,$70239.00,16.4,,$30814.00,43.9,,$14503.00,20.6,,$24922.00,35.5,
"Municipalities","-",$421081.00,$53972.00,12.8,,$48812.00,90.4,,$4762.00,8.8,,$398.00,0.7,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Notes:  Local government data are estimates subject to variability. Population figures are from the bureau of the Census, Current Population, Series P-25, No. 1045, July 2000. ",,,,,,,,,,,,,,
"a/ Total direct expenditures include outlays of States and all types of local governments including independent school districts",,,,,,,,,,,,,,
"and special districts , which are not displayed separately.   The ""Local, total"" lines, which include these districts, will not equal the sum of the ""Counties"" and ""Municipalities"" lines.",,,,,,,,,,,,,,
"b/ Justice system expenditure of special districts and independent school districts (primarily for special police forces) are not",,,,,,,,,,,,,,
"available.",,,,,,,,,,,,,,
