State and type of government,Population 2005 (thousands),Total direct expenditure/a (Dollar amounts in thousands),Total justice system,Percent of total direct expenditure/b,Police protection,Percent of total justice system,Judicial and legal,Percent of total justice system,Corrections,Percent of total justice system
"Local, total", -- ,"$2,305,459 ","$145,886 ",6.3,"$95,484 ",65.5,"$20,916 ",14.3,"$29,486 ",20.2
Counties, -- ,"$312,166 ","$82,759 ",26.5,"$34,653 ",41.9,"$19,042 ",23,"$29,064 ",35.1
Municipalities, -- ,"$798,642 ","$63,127 ",7.9,"$60,831 ",96.4,"$1,874 ",3,$422 ,0.7
Tennessee,"5,963","$42,915,823 ","$2,494,342 ",5.8,"$1,175,231 ",47.1,"$489,303 ",19.6,"$829,808 ",33.3
State, -- ,"$18,283,874 ","$808,455 ",4.4,"$146,845 ",18.2,"$201,129 ",24.9,"$460,481 ",57
"Local, total", -- ,"$24,631,949 ","$1,685,887 ",6.8,"$1,028,386 ",61,"$288,174 ",17.1,"$369,327 ",21.9
Counties, -- ,"$9,537,096 ","$809,385 ",8.5,"$290,638 ",35.9,"$199,872 ",24.7,"$318,875 ",39.4
Municipalities, -- ,"$12,956,148 ","$876,502 ",6.8,"$737,748 ",84.2,"$88,302 ",10.1,"$50,452 ",5.8
Texas,"22,860","$151,880,704 ","$10,673,087 ",7,"$4,576,321 ",42.9,"$1,818,638 ",17,"$4,278,128 ",40.1
State, -- ,"$63,878,746 ","$4,064,061 ",6.4,"$485,549 ",11.9,"$586,880 ",14.4,"$2,991,632 ",73.6
"Local, total", -- ,"$88,001,958 ","$6,609,026 ",7.5,"$4,090,772 ",61.9,"$1,231,758 ",18.6,"$1,286,496 ",19.5
Counties, -- ,"$12,980,853 ","$3,257,512 ",25.1,"$1,078,310 ",33.1,"$972,914 ",29.9,"$1,206,288 ",37
Municipalities, -- ,"$25,604,113 ","$3,351,514 ",13.1,"$3,012,462 ",89.9,"$258,844 ",7.7,"$80,208 ",2.4
Utah,"2,470","$17,278,891 ","$1,208,834 ",7,"$514,238 ",42.5,"$274,603 ",22.7,"$419,993 ",34.7
State, -- ,"$8,959,064 ","$575,268 ",6.4,"$125,745 ",21.9,"$160,839 ",28,"$288,684 ",50.2
"Local, total", -- ,"$8,319,827 ","$633,566 ",7.6,"$388,493 ",61.3,"$113,764 ",18,"$131,309 ",20.7
Counties, -- ,"$1,291,396 ","$334,730 ",25.9,"$130,407 ",39,"$74,273 ",22.2,"$130,050 ",38.9
Municipalities, -- ,"$2,397,228 ","$298,836 ",12.5,"$258,086 ",86.4,"$39,491 ",13.2,"$1,259 ",0.4
Vermont,623,"$5,056,732 ","$285,894 ",5.7,"$134,392 ",47,"$54,837 ",19.2,"$96,665 ",33.8
State, -- ,"$3,169,059 ","$222,832 ",7,"$76,199 ",34.2,"$49,973 ",22.4,"$96,660 ",43.4
"Local, total", -- ,"$1,887,673 ","$63,062 ",3.3,"$58,193 ",92.3,"$4,864 ",7.7,$5 ,0
Counties, -- ,"$6,230 ","$2,961 ",47.5,"$1,610 ",54.4,"$1,351 ",45.6,--,0
Municipalities, -- ,"$662,949 ","$60,101 ",9.1,"$56,583 ",94.1,"$3,513 ",5.8,$5 ,0
Virginia,"7,567","$51,495,836 ","$3,798,217 ",7.4,"$1,616,525 ",42.6,"$639,664 ",16.8,"$1,542,028 ",40.6
State, -- ,"$23,064,215 ","$1,560,367 ",6.8,"$249,768 ",16,"$302,453 ",19.4,"$1,008,146 ",64.6
"Local, total", -- ,"$28,431,621 ","$2,237,850 ",7.9,"$1,366,757 ",61.1,"$337,211 ",15.1,"$533,882 ",23.9
Counties, -- ,"$15,954,785 ","$1,235,423 ",7.7,"$741,129 ",60,"$202,815 ",16.4,"$291,479 ",23.6
Municipalities, -- ,"$10,557,909 ","$1,002,427 ",9.5,"$625,628 ",62.4,"$134,396 ",13.4,"$242,403 ",24.2
Washington,"6,288","$56,210,700 ","$3,303,500 ",5.9,"$1,288,901 ",39,"$659,477 ",20,"$1,355,122 ",41
State, -- ,"$25,831,227 ","$1,181,114 ",4.6,"$191,339 ",16.2,"$89,196 ",7.6,"$900,579 ",76.2
"Local, total", -- ,"$30,379,473 ","$2,122,386 ",7,"$1,097,562 ",51.7,"$570,281 ",26.9,"$454,543 ",21.4
Counties, -- ,"$5,467,868 ","$1,270,258 ",23.2,"$377,173 ",29.7,"$463,207 ",36.5,"$429,878 ",33.8
Municipalities, -- ,"$7,115,113 ","$852,128 ",12,"$720,389 ",84.5,"$107,074 ",12.6,"$24,665 ",2.9
West Virginia,"1,817","$12,256,877 ","$647,563 ",5.3,"$224,055 ",34.6,"$180,912 ",27.9,"$242,596 ",37.5
State, -- ,"$7,810,491 ","$388,943 ",5,"$53,005 ",13.6,"$136,348 ",35.1,"$199,590 ",51.3
"Local, total", -- ,"$4,446,386 ","$258,620 ",5.8,"$171,050 ",66.1,"$44,564 ",17.2,"$43,006 ",16.6
Counties, -- ,"$718,241 ","$154,388 ",21.5,"$72,014 ",46.6,"$39,787 ",25.8,"$42,587 ",27.6
Municipalities, -- ,"$908,820 ","$104,232 ",11.5,"$99,036 ",95,"$4,777 ",4.6,$419 ,0.4
Wisconsin,"5,536","$43,119,949 ","$3,090,640 ",7.2,"$1,357,664 ",43.9,"$527,377 ",17.1,"$1,205,599 ",39
State, -- ,"$19,627,568 ","$1,198,116 ",6.1,"$111,454 ",9.3,"$252,041 ",21,"$834,621 ",69.7
"Local, total", -- ,"$23,492,381 ","$1,892,524 ",8.1,"$1,246,210 ",65.8,"$275,336 ",14.5,"$370,978 ",19.6
Counties, -- ,"$5,770,302 ","$964,608 ",16.7,"$380,079 ",39.4,"$213,827 ",22.2,"$370,702 ",38.4
Municipalities, -- ,"$6,735,764 ","$927,916 ",13.8,"$866,131 ",93.3,"$61,509 ",6.6,$276 ,0
Wyoming,509,"$5,641,473 ","$461,401 ",8.2,"$147,675 ",32,"$76,504 ",16.6,"$237,222 ",51.4
State, -- ,"$2,685,356 ","$261,735 ",9.7,"$30,598 ",11.7,"$48,862 ",18.7,"$182,275 ",69.6
"Local, total", -- ,"$2,956,117 ","$199,666 ",6.8,"$117,077 ",58.6,"$27,642 ",13.8,"$54,947 ",27.5
Counties, -- ,"$751,983 ","$120,648 ",16,"$44,749 ",37.1,"$21,138 ",17.5,"$54,761 ",45.4
Municipalities, -- ,"$560,625 ","$79,018 ",14.1,"$72,328 ",91.5,"$6,504 ",8.2,$186 ,0.2
