State and type of government,2007 population (thousands),Total direct expenditure/a,Total justice system,Percent of total direct expenditure/b,Police protection,Percent of total justice system,Judicial and legal,Percent of total justice system,Corrections,Percent of total justice system
"Local, total",-,"$30,297,574 ","$1,904,680 ",6.3,"$1,218,949 ",64,"$330,543 ",17.4,"$355,188 ",18.6
Counties,-,"$10,353,018 ","$953,376 ",9.2,"$428,701 ",45,"$229,316 ",24.1,"$295,359 ",31
Municipalities,-,"$14,274,549 ","$951,304 ",6.7,"$790,248 ",83.1,"$101,227 ",10.6,"$59,829 ",6.3
Texas,"23,843","$170,264,953 ","$12,042,625 ",7.1,"$5,242,232 ",43.5,"$2,088,550 ",17.3,"$4,711,843 ",39.1
State,-,"$67,748,269 ","$4,395,842 ",6.5,"$605,724 ",13.8,"$612,771 ",13.9,"$3,177,347 ",72.3
"Local, total",-,"$102,516,684 ","$7,646,783 ",7.5,"$4,636,508 ",60.6,"$1,475,779 ",19.3,"$1,534,496 ",20.1
Counties,-,"$14,562,570 ","$3,826,910 ",26.3,"$1,239,425 ",32.4,"$1,176,055 ",30.7,"$1,411,430 ",36.9
Municipalities,-,"$30,747,260 ","$3,819,873 ",12.4,"$3,397,083 ",88.9,"$299,724 ",7.8,"$123,066 ",3.2
Utah,"2,669","$19,886,669 ","$1,357,463 ",6.8,"$579,725 ",42.7,"$301,309 ",22.2,"$476,429 ",35.1
State,-,"$10,072,688 ","$594,275 ",5.9,"$115,385 ",19.4,"$168,556 ",28.4,"$310,334 ",52.2
"Local, total",-,"$9,813,981 ","$763,188 ",7.8,"$464,340 ",60.8,"$132,753 ",17.4,"$166,095 ",21.8
Counties,-,"$1,559,928 ","$405,166 ",26,"$155,266 ",38.3,"$84,326 ",20.8,"$165,574 ",40.9
Municipalities,-,"$2,792,441 ","$358,022 ",12.8,"$309,074 ",86.3,"$48,427 ",13.5,$521 ,0.1
Vermont,621,"$5,732,320 ","$315,104 ",5.5,"$141,263 ",44.8,"$60,292 ",19.1,"$113,549 ",36
State,-,"$3,517,751 ","$239,045 ",6.8,"$71,423 ",29.9,"$54,135 ",22.6,"$113,487 ",47.5
"Local, total",-,"$2,214,569 ","$76,059 ",3.4,"$69,840 ",91.8,"$6,157 ",8.1,$62 ,0.1
Counties,-,"$6,770 ","$4,651 ",68.7,"$1,853 ",39.8,"$2,798 ",60.2,$0 ,0
Municipalities,-,"$743,802 ","$71,408 ",9.6,"$67,987 ",95.2,"$3,359 ",4.7,$62 ,0.1
Virginia,"7,699","$58,748,215 ","$4,417,493 ",7.5,"$1,901,576 ",43,"$774,560 ",17.5,"$1,741,357 ",39.4
State,-,"$26,015,327 ","$1,744,441 ",6.7,"$284,357 ",16.3,"$353,948 ",20.3,"$1,106,136 ",63.4
"Local, total",-,"$32,732,888 ","$2,673,052 ",8.2,"$1,617,219 ",60.5,"$420,612 ",15.7,"$635,221 ",23.8
Counties,-,"$18,243,564 ","$1,467,862 ",8,"$868,510 ",59.2,"$262,103 ",17.9,"$337,249 ",23
Municipalities,-,"$11,806,184 ","$1,205,190 ",10.2,"$748,709 ",62.1,"$158,509 ",13.2,"$297,972 ",24.7
Washington,"6,450","$62,120,601 ","$3,721,921 ",6,"$1,412,333 ",37.9,"$728,687 ",19.6,"$1,580,901 ",42.5
State,-,"$28,053,748 ","$1,438,935 ",5.1,"$226,609 ",15.7,"$122,656 ",8.5,"$1,089,670 ",75.7
"Local, total",-,"$34,066,853 ","$2,282,986 ",6.7,"$1,185,724 ",51.9,"$606,031 ",26.5,"$491,231 ",21.5
Counties,-,"$5,417,744 ","$1,358,136 ",25.1,"$405,243 ",29.8,"$488,188 ",35.9,"$464,705 ",34.2
Municipalities,-,"$7,720,158 ","$924,850 ",12,"$780,481 ",84.4,"$117,843 ",12.7,"$26,526 ",2.9
West Virginia,"1,810","$12,569,506 ","$746,357 ",5.9,"$267,846 ",35.9,"$205,875 ",27.6,"$272,636 ",36.5
State,-,"$7,603,118 ","$448,734 ",5.9,"$61,691 ",13.7,"$153,763 ",34.3,"$233,280 ",52
"Local, total",-,"$4,966,388 ","$297,623 ",6,"$206,155 ",69.3,"$52,112 ",17.5,"$39,356 ",13.2
Counties,-,"$825,121 ","$184,665 ",22.4,"$99,990 ",54.1,"$45,742 ",24.8,"$38,933 ",21.1
Municipalities,-,"$976,478 ","$112,958 ",11.6,"$106,165 ",94,"$6,370 ",5.6,$423 ,0.4
Wisconsin,"5,599","$46,322,032 ","$3,419,936 ",7.4,"$1,494,022 ",43.7,"$560,115 ",16.4,"$1,365,799 ",39.9
State,-,"$20,864,673 ","$1,322,102 ",6.3,"$120,397 ",9.1,"$271,168 ",20.5,"$930,537 ",70.4
"Local, total",-,"$25,457,359 ","$2,097,834 ",8.2,"$1,373,625 ",65.5,"$288,947 ",13.8,"$435,262 ",20.7
Counties,-,"$6,196,417 ","$1,073,338 ",17.3,"$409,856 ",38.2,"$228,470 ",21.3,"$435,012 ",40.5
Municipalities,-,"$7,272,859 ","$1,024,496 ",14.1,"$963,769 ",94.1,"$60,477 ",5.9,$250 ,0
Wyoming,523,"$6,657,655 ","$437,383 ",6.6,"$175,303 ",40.1,"$90,928 ",20.8,"$171,152 ",39.1
State,-,"$2,887,367 ","$211,106 ",7.3,"$37,999 ",18,"$55,938 ",26.5,"$117,169 ",55.5
"Local, total",-,"$3,770,288 ","$226,277 ",6,"$137,304 ",60.7,"$34,990 ",15.5,"$53,983 ",23.9
Counties,-,"$887,453 ","$134,682 ",15.2,"$54,467 ",40.4,"$26,470 ",19.7,"$53,745 ",39.9
Municipalities,-,"$722,834 ","$91,595 ",12.7,"$82,837 ",90.4,"$8,520 ",9.3,$238 ,0.3
