State and type of government,Population 2000 (thousands),Total direct expenditure/a,Total justice system,Percent of total direct expenditure/b,Police protection,Percent of total justice system,Judicial and legal,Percent of total justice system,Corrections,Percent of total justice system
Municipalities,-,"$3,426,768.00 ","$419,912.00 ",12.3,"$393,309.00 ",93.7,"$26,530.00 ",6.3,$73.00 ,0
Oregon,3421,"$24,086,300.00 ","$1,799,118.00 ",7.5,"$695,999.00 ",38.7,"$355,807.00 ",19.8,"$747,312.00 ",41.5
State,-,"$11,856,279.00 ","$854,926.00 ",7.2,"$130,473.00 ",15.3,"$256,091.00 ",30,"$468,362.00 ",54.8
"Local, total",-,"$12,230,021.00 ","$944,192.00 ",7.7,"$565,526.00 ",59.9,"$99,716.00 ",10.6,"$278,950.00 ",29.5
Counties,-,"$2,375,330.00 ","$562,832.00 ",23.7,"$203,867.00 ",36.2,"$80,859.00 ",14.4,"$278,106.00 ",49.4
Municipalities,-,"$2,958,503.00 ","$381,360.00 ",12.9,"$361,659.00 ",94.8,"$18,857.00 ",4.9,$844.00 ,0.2
Pennsylvania,12281,"$75,466,693.00 ","$5,510,353.00 ",7.3,"$2,220,991.00 ",40.3,"$1,067,391.00 ",19.4,"$2,221,971.00 ",40.3
State,-,"$36,311,954.00 ","$2,509,003.00 ",6.9,"$776,384.00 ",30.9,"$318,979.00 ",12.7,"$1,413,640.00 ",56.3
"Local, total",-,"$39,154,739.00 ","$3,001,350.00 ",7.7,"$1,444,607.00 ",48.1,"$748,412.00 ",24.9,"$808,331.00 ",26.9
Counties,-,"$5,780,892.00 ","$1,131,110.00 ",19.6,"$86,375.00 ",7.6,"$483,447.00 ",42.7,"$561,288.00 ",49.6
Municipalities,-,"$10,405,821.00 ","$1,870,240.00 ",18,"$1,358,232.00 ",72.6,"$264,965.00 ",14.2,"$247,043.00 ",13.2
Rhode Island,1048,"$6,406,396.00 ","$455,578.00 ",7.1,"$211,195.00 ",46.4,"$105,158.00 ",23.1,"$139,225.00 ",30.6
State,-,"$3,970,456.00 ","$270,911.00 ",6.8,"$36,159.00 ",13.3,"$95,527.00 ",35.3,"$139,225.00 ",51.4
"Local, total",-,"$2,435,940.00 ","$184,667.00 ",7.6,"$175,036.00 ",94.8,"$9,631.00 ",5.2,$0.00 ,0
Municipalities,-,"$2,209,212.00 ","$184,667.00 ",8.4,"$175,036.00 ",94.8,"$9,631.00 ",5.2,$0.00 ,0
South Carolina,4012,"$23,436,064.00 ","$1,391,012.00 ",5.9,"$653,266.00 ",47,"$179,225.00 ",12.9,"$558,521.00 ",40.2
State,-,"$12,430,612.00 ","$692,338.00 ",5.6,"$203,125.00 ",29.3,"$52,999.00 ",7.7,"$436,214.00 ",63
"Local, total",-,"$11,005,452.00 ","$698,674.00 ",6.3,"$450,141.00 ",64.4,"$126,226.00 ",18.1,"$122,307.00 ",17.5
Counties,-,"$2,662,556.00 ","$441,335.00 ",16.6,"$212,118.00 ",48.1,"$108,927.00 ",24.7,"$120,290.00 ",27.3
Municipalities,-,"$1,669,307.00 ","$257,339.00 ",15.4,"$238,023.00 ",92.5,"$17,299.00 ",6.7,"$2,017.00 ",0.8
South Dakota,755,"$3,760,194.00 ","$208,732.00 ",5.6,"$88,020.00 ",42.2,"$39,631.00 ",19,"$81,081.00 ",38.8
State,-,"$1,954,972.00 ","$102,325.00 ",5.2,"$17,543.00 ",17.1,"$22,467.00 ",22,"$62,315.00 ",60.9
"Local, total",-,"$1,805,222.00 ","$106,407.00 ",5.9,"$70,477.00 ",66.2,"$17,164.00 ",16.1,"$18,766.00 ",17.6
Counties,-,"$232,041.00 ","$59,563.00 ",25.7,"$24,791.00 ",41.6,"$16,120.00 ",27.1,"$18,652.00 ",31.3
Municipalities,-,"$585,018.00 ","$46,844.00 ",8,"$45,686.00 ",97.5,"$1,044.00 ",2.2,$114.00 ,0.2
Tennessee,5689,"$32,009,918.00 ","$1,943,166.00 ",6.1,"$940,212.00 ",48.4,"$398,928.00 ",20.5,"$604,026.00 ",31.1
State,-,"$12,489,034.00 ","$651,053.00 ",5.2,"$111,798.00 ",17.2,"$188,409.00 ",28.9,"$350,846.00 ",53.9
"Local, total",-,"$19,520,884.00 ","$1,292,113.00 ",6.6,"$828,414.00 ",64.1,"$210,519.00 ",16.3,"$253,180.00 ",19.6
Counties,-,"$7,294,182.00 ","$579,534.00 ",7.9,"$222,664.00 ",38.4,"$150,160.00 ",25.9,"$206,710.00 ",35.7
Municipalities,-,"$10,850,039.00 ","$712,579.00 ",6.6,"$605,750.00 ",85,"$60,359.00 ",8.5,"$46,470.00 ",6.5
Texas,20852,"$109,634,090.00 ","$8,314,329.00 ",7.6,"$3,204,048.00 ",38.5,"$1,354,638.00 ",16.3,"$3,755,643.00 ",45.2
State,-,"$44,193,991.00 ","$3,425,892.00 ",7.8,"$337,990.00 ",9.9,"$410,654.00 ",12,"$2,677,248.00 ",78.1
"Local, total",-,"$65,440,099.00 ","$4,888,437.00 ",7.5,"$2,866,058.00 ",58.6,"$943,984.00 ",19.3,"$1,078,395.00 ",22.1
Counties,-,"$8,919,975.00 ","$2,421,782.00 ",27.2,"$640,495.00 ",26.4,"$764,808.00 ",31.6,"$1,016,479.00 ",42
Municipalities,-,"$18,281,668.00 ","$2,466,655.00 ",13.5,"$2,225,563.00 ",90.2,"$179,176.00 ",7.3,"$61,916.00 ",2.5
Utah,2233,"$13,043,870.00 ","$934,625.00 ",7.2,"$380,972.00 ",40.8,"$202,238.00 ",21.6,"$351,415.00 ",37.6
State,-,"$6,614,065.00 ","$450,937.00 ",6.8,"$74,401.00 ",16.5,"$131,164.00 ",29.1,"$245,372.00 ",54.4
"Local, total",-,"$6,429,805.00 ","$483,688.00 ",7.5,"$306,571.00 ",63.4,"$71,074.00 ",14.7,"$106,043.00 ",21.9
Counties,-,"$914,979.00 ","$270,765.00 ",29.6,"$111,328.00 ",41.1,"$53,394.00 ",19.7,"$106,043.00 ",39.2
Municipalities,-,"$1,736,101.00 ","$212,923.00 ",12.3,"$195,243.00 ",91.7,"$17,680.00 ",8.3,$0.00 ,0
Vermont,609,"$3,756,032.00 ","$183,612.00 ",4.9,"$77,900.00 ",42.4,"$39,408.00 ",21.5,"$66,304.00 ",36.1
State,-,"$2,287,784.00 ","$140,298.00 ",6.1,"$37,127.00 ",26.5,"$37,044.00 ",26.4,"$66,127.00 ",47.1
"Local, total",-,"$1,468,248.00 ","$43,314.00 ",3,"$40,773.00 ",94.1,"$2,364.00 ",5.5,$177.00 ,0.4
Counties,-,"$4,607.00 ","$1,968.00 ",42.7,$844.00 ,42.9,$948.00 ,48.2,$176.00 ,8.9
Municipalities,-,"$492,037.00 ","$41,346.00 ",8.4,"$39,929.00 ",96.6,"$1,416.00 ",3.4,$1.00 ,0
Virginia,7079,"$38,092,058.00 ","$2,934,733.00 ",7.7,"$1,175,518.00 ",40.1,"$513,080.00 ",17.5,"$1,246,135.00 ",42.5
State,-,"$17,181,613.00 ","$1,308,431.00 ",7.6,"$210,428.00 ",16.1,"$238,570.00 ",18.2,"$859,433.00 ",65.7
"Local, total",-,"$20,910,445.00 ","$1,626,302.00 ",7.8,"$965,090.00 ",59.3,"$274,510.00 ",16.9,"$386,702.00 ",23.8
Counties,-,"$11,073,750.00 ","$842,086.00 ",7.6,"$478,470.00 ",56.8,"$158,233.00 ",18.8,"$205,383.00 ",24.4
Municipalities,-,"$8,270,516.00 ","$784,216.00 ",9.5,"$486,620.00 ",62.1,"$116,277.00 ",14.8,"$181,319.00 ",23.1
Washington,5894,"$41,785,842.00 ","$2,530,340.00 ",6.1,"$1,007,208.00 ",39.8,"$469,759.00 ",18.6,"$1,053,373.00 ",41.6
State,-,"$19,531,080.00 ","$955,645.00 ",4.9,"$153,174.00 ",16,"$71,194.00 ",7.4,"$731,277.00 ",76.5
"Local, total",-,"$22,254,762.00 ","$1,574,695.00 ",7.1,"$854,034.00 ",54.2,"$398,565.00 ",25.3,"$322,096.00 ",20.5
Counties,-,"$3,950,472.00 ","$879,448.00 ",22.3,"$273,025.00 ",31,"$302,954.00 ",34.4,"$303,469.00 ",34.5
Municipalities,-,"$5,430,308.00 ","$695,247.00 ",12.8,"$581,009.00 ",83.6,"$95,611.00 ",13.8,"$18,627.00 ",2.7
West Virginia,1808,"$9,990,456.00 ","$462,998.00 ",4.6,"$171,146.00 ",37,"$107,720.00 ",23.3,"$184,132.00 ",39.8
State,-,"$6,192,166.00 ","$281,767.00 ",4.6,"$52,445.00 ",18.6,"$73,132.00 ",26,"$156,190.00 ",55.4
"Local, total",-,"$3,798,290.00 ","$181,231.00 ",4.8,"$118,701.00 ",65.5,"$34,588.00 ",19.1,"$27,942.00 ",15.4
Counties,-,"$582,614.00 ","$94,237.00 ",16.2,"$36,563.00 ",38.8,"$29,761.00 ",31.6,"$27,913.00 ",29.6
Municipalities,-,"$762,133.00 ","$86,994.00 ",11.4,"$82,138.00 ",94.4,"$4,827.00 ",5.5,$29.00 ,0
Wisconsin,5364,"$34,457,512.00 ","$2,594,282.00 ",7.5,"$1,124,272.00 ",43.3,"$440,190.00 ",17,"$1,029,820.00 ",39.7
State,-,"$14,662,959.00 ","$1,065,901.00 ",7.3,"$99,418.00 ",9.3,"$220,426.00 ",20.7,"$746,057.00 ",70
"Local, total",-,"$19,794,553.00 ","$1,528,381.00 ",7.7,"$1,024,854.00 ",67.1,"$219,764.00 ",14.4,"$283,763.00 ",18.6
Counties,-,"$4,747,142.00 ","$797,587.00 ",16.8,"$340,379.00 ",42.7,"$173,680.00 ",21.8,"$283,528.00 ",35.5
Municipalities,-,"$5,673,509.00 ","$730,794.00 ",12.9,"$684,475.00 ",93.7,"$46,084.00 ",6.3,$235.00 ,0
Wyoming,494,"$3,741,777.00 ","$247,344.00 ",6.6,"$98,946.00 ",40,"$50,047.00 ",20.2,"$98,351.00 ",39.8
State,-,"$1,714,282.00 ","$123,133.00 ",7.2,"$19,320.00 ",15.7,"$30,782.00 ",25,"$73,031.00 ",59.3
"Local, total",-,"$2,027,495.00 ","$124,211.00 ",6.1,"$79,626.00 ",64.1,"$19,265.00 ",15.5,"$25,320.00 ",20.4
Counties,-,"$426,989.00 ","$70,239.00 ",16.4,"$30,814.00 ",43.9,"$14,503.00 ",20.6,"$24,922.00 ",35.5
Municipalities,-,"$421,081.00 ","$53,972.00 ",12.8,"$48,812.00 ",90.4,"$4,762.00 ",8.8,$398.00 ,0.7
"Notes:  Local government data are estimates subject to variability. Population figures are from the bureau of the Census, Current Population, Series P-25, No. 1045, July 2000. ",,,,,,,,,,
a/ Total direct expenditures include outlays of States and all types of local governments including independent school districts,,,,,,,,,,
"and special districts , which are not displayed separately.   The ""Local, total"" lines, which include these districts, will not equal the sum of the ""Counties"" and ""Municipalities"" lines.",,,,,,,,,,
b/ Justice system expenditure of special districts and independent school districts (primarily for special police forces) are not,,,,,,,,,,
available.,,,,,,,,,,
